2 1/8	cups all-purpose flour
1	teaspoon baking soda
1	teaspoon kosher salt
1 1/2	cups regular semisweet chocolate chips
1	cup large bittersweet chocolate chips
1 1/2	cups walnuts, finely chopped
1	cup (2 sticks) unsalted butter, room temperature
1	cup light or dark brown sugar, tightly packed
1/2	cup white sugar
2	eggs
2	teaspoons vanilla extract
