1 ¾	cups unbleached all-purpose flour 
½	teaspoon baking soda
14	tablespoons unsalted butter (1 3/4 sticks)
½	cup granulated sugar 
¾	cups packed dark brown sugar
1	teaspoon table salt
2	teaspoons vanilla extract
1	large egg
1	large egg yolk
1 ¼	cups semisweet chocolate chips or chunks (see note)
¾	cup chopped pecans or walnuts, toasted (optional)
